obs,exp
122.5,120
118,117
125.5,126
145.5,139
140,140
112.5,119
140.5,136
116.5,118
124,124
128.5,122
120.5,121
121,120
131,123
98.5,103
125,130
123.5,123
131.5,136
101,107
99.5,98
141.5,138
101.5,103
121.5,120
109.5,103
132,130
153.5,157
137,136
139,136
119,121
120,120
137.5,139
152.5,155
131.5,126
120,120
119.5,123
124,116
119,118
141.5,141
127,127
108.5,101
114.5,103
103,103
120,119
126.5,122
161,159
147.5,139
122,119
99,100
119,121
110,111
113,109
137,131
122,122
130,127
129,123
148.5,137
149.5,142
97,98
118,120
118,116
122,121
161.5,157
128.5,123
112.5,111
120,121
114,111
132,124
117.5,115
118,119
143.5,128
118,109
114,118
135,126
117.5,113
114.5,113.5
121.5,122
122.5,126
118.5,120
135.5,136
121,121
133,136
115,119
123,121
158.5,141
117,111
95,97
100,100
140.5,137
120,118
119.5,120
121.5,121
122.5,124
140.5,137
107.5,107
144,134
119,119
150,139
137.5,134
122,121
124,122
120.5,123
110,105
139.5,129
156,143
129.5,127
120,121
122.5,123
124,116
114,110
132,126
143.5,141
122,121
113,118
119.5,121
117.5,116
140,131
165.5,165
116,110
134,130
154,151
122,119
136.5,136
119,116
121.5,123
106,111
135.5,137
122,123
118.5,112
111.5,113
131.25,123
120.5,115
117.5,116
120.5,113
141,137
125.5,123
120.5,122
83,84
141.5,130
138,137
108,104
127,126
120.5,122
110.5,106
122.5,122
118.5,117
107.5,102
136.5,132
129.5,126
130.5,123
100.5,102
115,107
122.5,124
109,98
115,111
114,114
161.5,157
132.5,129
132,127
118.5,119
118.5,117.5
118,121
143.5,138
126.5,126
114,115
131.5,128
109,102
140.5,130
126,125
118.5,113
139,136
117.5,120
125,126
139.5,145
165,147
124,126
174.5,163
113.5,112
130,125
153.5,142
118,109
136.5,137
148,144
142.5,136
119,118
119.5,108
109,102
135,133
107.25,106
122.5,123
117,111
121,125
158.5,146
136,136
120,118
126.5,125
119,121
154,138
108.5,111
162.5,158
120,122
128,127
115,112
122,122
137,132
116,107
154,139.5
148.5,146
149.5,138
121.5,121
124,121
124.5,122
120.5,120
139.5,137
120,121
124.5,126
122,123
137.5,135
122,120
133,122
121.5,122
107,105
125,125
122.5,123
112,110
150,145
121.5,119
118.5,119
134,135
116.5,115
109,109
124,126
106.5,104
134.5,134
99.5,97
121,121
122,122
116.5,114
122,125
126.5,127
119,119
120.5,120
118.5,118
130.5,127
146,137
123.5,124
120.5,113
118,117
123,125
116,121
121.5,114
101,99
121.5,123
171,167
128.5,130
109,104
126,124
138,137
131,122
125.5,121
107.5,108
122.5,122
134.5,132
122.5,121
152,158
147.5,137
104.5,109
135,129
151,143
139.5,141
119,117
108.5,103
128.5,132
132,129
127.5,125
147.5,137
120,108
121.5,122
133.5,132
106.5,107
124.5,123
121.5,120
113,111
126.5,126
122.5,121
107,104
122,122
112.5,111
116,110
120.5,124
119.5,121
114.5,123
121.5,118
104.5,103
126.5,122
121.5,126
120,121
138,136
102.5,102
107.5,113
101.5,104
120.5,119
120.5,119
113.5,124
118.5,115
116.5,117
112.5,115
121,119
103,98
139.5,133
109,105
118.25,120
106,104
145.5,137
114.5,113
142,136
122.5,123
119,122
111.5,102
122,123
93,96
120,117
123,122
102.5,102
112.5,117
148.5,140
120,118
119,119
111.5,102
114,106
132.5,126
159.5,161
118,118
124,123
96,96
139,129
136.5,136
114.5,111
130,128
164.5,158
137.5,136
115.5,114
122,122
121.5,117
116,114
115.5,116
135,127
148,141
119,113
113.5,109
135,122
132,127
135,136
111,110
126,124
117.5,121
123,126
117,109
128,121
119,120
114.5,111.5
135.5,129
123.5,121
122,123
140.5,136
140.5,128
118,115
111.5,111
121,116
117.5,116
142.5,139
117.5,113
127.5,127
145,158
101,99
145,127
113,111
126.5,126
152.5,155
142,139
129,124
126,124
124,123
121.5,123
144,133
119.5,124
118,121
133.5,131
128.5,125
120.5,124
116.5,118
148.5,142
142,138
123,123
108,114
130.5,126
98,101
132.5,130
125,125
154.5,144
128.5,123
134.5,130
100.5,102
131,127
134.5,130
131.5,135
125.5,129
180.5,162
109,104
133.5,131
117.5,123
124,127
106.5,106
123.5,121
159.5,144
108.5,107
116.5,110
119.5,115
159,152
124.5,123
138.5,135
132.5,131
117.5,107
124.5,124
120.5,118
120,120
122,123
158,155
116,113
134.5,134
154,145
96.5,94
124,124
114,112
116.5,118
123.75,123
108.5,107
118.5,121
118.5,117
113,112
150,145
126,126
112.5,121
121.5,122
125.5,125
119,112
117.5,117
122,115
111,108
115,114
124,122
118,120
114.5,110
124.5,129
130,124
120.5,121
103.5,106
131,126
138.5,139
154.5,137
121.5,122
91,94
104.5,110
135.5,128
114.5,106
119,111
140,135
131.5,136
109.5,101
120.5,121
135.5,126
98,98
122,123
135.5,124
132.5,131
112.5,111
134,136
118,120
143.5,137
148.5,138
119.5,122
148.5,145
155,147
147.5,139
122,115
110.5,108
132.5,139
135.5,131
131.5,132
131.5,130
125,124
137,128
106.25,103
115.5,112
123,121
118,107
154.5,158
121.5,121
92.5,95
147.5,139
131.5,126
152.5,146
119,114
117.5,120
135,131
91.5,91
127.5,131
141,132
119.5,119
103.5,104
131.5,126
122,122
